agent_category,doc_id,other_doc_id,relationship,source_is_selected,target_is_selected,relationship_is_adverse,source_title,target_title
,snapshot-c94d7b75195a67fa:0682b030-84d3-11f1-8e08-0594f352574d,snapshot-c94d7b75195a67fa:167934,REL_Sua_oi_bo_sung,True,True,False,Nghị quyết số 60/2026/NQ-HĐND Quy định mức hỗ trợ đóng bảo hiểm y tế trên địa bàn tỉnh Quảng Ngãi,"Nghị quyết số 15/2024/NQ-HĐND Sửa đổi, bổ sung một số điều của Nghị quyết số 27/2019/NQ-HĐND ngày 11 tháng 12 năm 2019 của Hội đồng nhân dân tỉnh về hỗ trợ tiền đóng bảo hiểm y tế trên địa bàn tỉnh Quảng Ngãi"
,snapshot-c94d7b75195a67fa:0682b030-84d3-11f1-8e08-0594f352574d,snapshot-c94d7b75195a67fa:168516,REL_Sua_oi_bo_sung,True,True,False,Nghị quyết số 60/2026/NQ-HĐND Quy định mức hỗ trợ đóng bảo hiểm y tế trên địa bàn tỉnh Quảng Ngãi,"Nghị quyết số 31/2024/NQ-HĐND Sửa đổi, bổ sung một số điều và bãi bỏ một phần của Nghị quyết số 18/2019/NQ-HĐND ngày 18 tháng 7 năm 2019 của Hội đồng nhân dân tỉnh quy định mức hỗ trợ đóng bảo hiểm y tế trên địa bàn tỉnh Kon Tum"
,snapshot-c94d7b75195a67fa:0682b030-84d3-11f1-8e08-0594f352574d,snapshot-c94d7b75195a67fa:12326,REL_Can_cu,True,True,False,Nghị quyết số 60/2026/NQ-HĐND Quy định mức hỗ trợ đóng bảo hiểm y tế trên địa bàn tỉnh Quảng Ngãi,Luật Bảo hiểm y tế số 25/2008/QH12
,snapshot-c94d7b75195a67fa:0682b030-84d3-11f1-8e08-0594f352574d,snapshot-c94d7b75195a67fa:135466,REL_Can_cu,True,True,False,Nghị quyết số 60/2026/NQ-HĐND Quy định mức hỗ trợ đóng bảo hiểm y tế trên địa bàn tỉnh Quảng Ngãi,"Thông tư số 27/2018/TT-BYT Hướng dẫn thực hiện bảo hiểm y tế và khám bệnh, chữa bệnh liên quan đến HIV/AIDS"
,snapshot-c94d7b75195a67fa:0682b030-84d3-11f1-8e08-0594f352574d,snapshot-c94d7b75195a67fa:179711,REL_Can_cu,True,True,False,Nghị quyết số 60/2026/NQ-HĐND Quy định mức hỗ trợ đóng bảo hiểm y tế trên địa bàn tỉnh Quảng Ngãi,Nghị định số 188/2025/NĐ-CP hướng dẫn Luật Bảo hiểm y tế
,snapshot-c94d7b75195a67fa:0682b030-84d3-11f1-8e08-0594f352574d,snapshot-c94d7b75195a67fa:178340,REL_Can_cu,True,False,False,Nghị quyết số 60/2026/NQ-HĐND Quy định mức hỗ trợ đóng bảo hiểm y tế trên địa bàn tỉnh Quảng Ngãi,
,snapshot-c94d7b75195a67fa:0682b030-84d3-11f1-8e08-0594f352574d,snapshot-c94d7b75195a67fa:179427,REL_Can_cu,True,False,False,Nghị quyết số 60/2026/NQ-HĐND Quy định mức hỗ trợ đóng bảo hiểm y tế trên địa bàn tỉnh Quảng Ngãi,
,snapshot-c94d7b75195a67fa:0682b030-84d3-11f1-8e08-0594f352574d,snapshot-c94d7b75195a67fa:25164,REL_Can_cu,True,False,False,Nghị quyết số 60/2026/NQ-HĐND Quy định mức hỗ trợ đóng bảo hiểm y tế trên địa bàn tỉnh Quảng Ngãi,
,snapshot-c94d7b75195a67fa:0682b030-84d3-11f1-8e08-0594f352574d,snapshot-c94d7b75195a67fa:6fa2fd20-597e-11f1-add2-7717d93a2118,REL_Can_cu,True,False,False,Nghị quyết số 60/2026/NQ-HĐND Quy định mức hỗ trợ đóng bảo hiểm y tế trên địa bàn tỉnh Quảng Ngãi,
,snapshot-c94d7b75195a67fa:0682b030-84d3-11f1-8e08-0594f352574d,snapshot-c94d7b75195a67fa:71383,REL_Can_cu,True,False,False,Nghị quyết số 60/2026/NQ-HĐND Quy định mức hỗ trợ đóng bảo hiểm y tế trên địa bàn tỉnh Quảng Ngãi,
,snapshot-c94d7b75195a67fa:100267,snapshot-c94d7b75195a67fa:101948,REL_Thay_the,True,False,False,"Quyết định số 25/2015/QĐ-UBND Ban hành Quy định đăng ký khám bệnh, chữa bệnh ban đầu và chuyển tuyến khám bệnh, chữa bệnh bảo hiểm y tế trên địa bàn tỉnh Ninh Thuận",
,snapshot-c94d7b75195a67fa:100267,snapshot-c94d7b75195a67fa:12326,REL_Can_cu,True,True,False,"Quyết định số 25/2015/QĐ-UBND Ban hành Quy định đăng ký khám bệnh, chữa bệnh ban đầu và chuyển tuyến khám bệnh, chữa bệnh bảo hiểm y tế trên địa bàn tỉnh Ninh Thuận",Luật Bảo hiểm y tế số 25/2008/QH12
,snapshot-c94d7b75195a67fa:100267,snapshot-c94d7b75195a67fa:36793,REL_Can_cu,True,True,False,"Quyết định số 25/2015/QĐ-UBND Ban hành Quy định đăng ký khám bệnh, chữa bệnh ban đầu và chuyển tuyến khám bệnh, chữa bệnh bảo hiểm y tế trên địa bàn tỉnh Ninh Thuận","Luật Sửa đổi, bổ sung một số điều của Luật Bảo hiểm y tế số 46/2014/QH13"
,snapshot-c94d7b75195a67fa:100267,snapshot-c94d7b75195a67fa:38018,REL_Can_cu,True,True,False,"Quyết định số 25/2015/QĐ-UBND Ban hành Quy định đăng ký khám bệnh, chữa bệnh ban đầu và chuyển tuyến khám bệnh, chữa bệnh bảo hiểm y tế trên địa bàn tỉnh Ninh Thuận",Nghị định số 105/2014/NĐ-CP Quy định chi tiết và hướng dẫn thi hành một số điều của Luật Bảo hiểm y tế
,snapshot-c94d7b75195a67fa:100267,snapshot-c94d7b75195a67fa:38036,REL_Can_cu,True,True,False,"Quyết định số 25/2015/QĐ-UBND Ban hành Quy định đăng ký khám bệnh, chữa bệnh ban đầu và chuyển tuyến khám bệnh, chữa bệnh bảo hiểm y tế trên địa bàn tỉnh Ninh Thuận","Thông tư số 14/2014/TT-BYT Quy định việc chuyển tuyến giữa các cơ sở khám bệnh, chữa bệnh"
,snapshot-c94d7b75195a67fa:100267,snapshot-c94d7b75195a67fa:17855,REL_Can_cu,True,False,False,"Quyết định số 25/2015/QĐ-UBND Ban hành Quy định đăng ký khám bệnh, chữa bệnh ban đầu và chuyển tuyến khám bệnh, chữa bệnh bảo hiểm y tế trên địa bàn tỉnh Ninh Thuận",
,snapshot-c94d7b75195a67fa:100267,snapshot-c94d7b75195a67fa:20068,REL_Can_cu,True,False,False,"Quyết định số 25/2015/QĐ-UBND Ban hành Quy định đăng ký khám bệnh, chữa bệnh ban đầu và chuyển tuyến khám bệnh, chữa bệnh bảo hiểm y tế trên địa bàn tỉnh Ninh Thuận",
,snapshot-c94d7b75195a67fa:100267,snapshot-c94d7b75195a67fa:25170,REL_Can_cu,True,False,False,"Quyết định số 25/2015/QĐ-UBND Ban hành Quy định đăng ký khám bệnh, chữa bệnh ban đầu và chuyển tuyến khám bệnh, chữa bệnh bảo hiểm y tế trên địa bàn tỉnh Ninh Thuận",
,snapshot-c94d7b75195a67fa:100267,snapshot-c94d7b75195a67fa:47035,REL_Can_cu,True,False,False,"Quyết định số 25/2015/QĐ-UBND Ban hành Quy định đăng ký khám bệnh, chữa bệnh ban đầu và chuyển tuyến khám bệnh, chữa bệnh bảo hiểm y tế trên địa bàn tỉnh Ninh Thuận",
,snapshot-c94d7b75195a67fa:100267,snapshot-c94d7b75195a67fa:52484,REL_Can_cu,True,False,False,"Quyết định số 25/2015/QĐ-UBND Ban hành Quy định đăng ký khám bệnh, chữa bệnh ban đầu và chuyển tuyến khám bệnh, chữa bệnh bảo hiểm y tế trên địa bàn tỉnh Ninh Thuận",
,snapshot-c94d7b75195a67fa:100276,snapshot-c94d7b75195a67fa:12326,REL_Can_cu,True,True,False,"Quyết định số 31/2015/QĐ-UBND Về việc bổ sung Điều 6 Quyết định số 25/2015/QĐ-UBND ngày 12 tháng 5 năm 2015 của Ủy ban nhân dân tỉnh quy định đăng ký khám bệnh, chữa bệnh ban đầu và chuyển tuyến khám bệnh, chữa bệnh bảo hiểm y tế trên địa bàn tỉnh Ninh Thuận",Luật Bảo hiểm y tế số 25/2008/QH12
,snapshot-c94d7b75195a67fa:100276,snapshot-c94d7b75195a67fa:36793,REL_Can_cu,True,True,False,"Quyết định số 31/2015/QĐ-UBND Về việc bổ sung Điều 6 Quyết định số 25/2015/QĐ-UBND ngày 12 tháng 5 năm 2015 của Ủy ban nhân dân tỉnh quy định đăng ký khám bệnh, chữa bệnh ban đầu và chuyển tuyến khám bệnh, chữa bệnh bảo hiểm y tế trên địa bàn tỉnh Ninh Thuận","Luật Sửa đổi, bổ sung một số điều của Luật Bảo hiểm y tế số 46/2014/QH13"
,snapshot-c94d7b75195a67fa:100276,snapshot-c94d7b75195a67fa:38018,REL_Can_cu,True,True,False,"Quyết định số 31/2015/QĐ-UBND Về việc bổ sung Điều 6 Quyết định số 25/2015/QĐ-UBND ngày 12 tháng 5 năm 2015 của Ủy ban nhân dân tỉnh quy định đăng ký khám bệnh, chữa bệnh ban đầu và chuyển tuyến khám bệnh, chữa bệnh bảo hiểm y tế trên địa bàn tỉnh Ninh Thuận",Nghị định số 105/2014/NĐ-CP Quy định chi tiết và hướng dẫn thi hành một số điều của Luật Bảo hiểm y tế
,snapshot-c94d7b75195a67fa:100276,snapshot-c94d7b75195a67fa:38036,REL_Can_cu,True,True,False,"Quyết định số 31/2015/QĐ-UBND Về việc bổ sung Điều 6 Quyết định số 25/2015/QĐ-UBND ngày 12 tháng 5 năm 2015 của Ủy ban nhân dân tỉnh quy định đăng ký khám bệnh, chữa bệnh ban đầu và chuyển tuyến khám bệnh, chữa bệnh bảo hiểm y tế trên địa bàn tỉnh Ninh Thuận","Thông tư số 14/2014/TT-BYT Quy định việc chuyển tuyến giữa các cơ sở khám bệnh, chữa bệnh"
,snapshot-c94d7b75195a67fa:100276,snapshot-c94d7b75195a67fa:17855,REL_Can_cu,True,False,False,"Quyết định số 31/2015/QĐ-UBND Về việc bổ sung Điều 6 Quyết định số 25/2015/QĐ-UBND ngày 12 tháng 5 năm 2015 của Ủy ban nhân dân tỉnh quy định đăng ký khám bệnh, chữa bệnh ban đầu và chuyển tuyến khám bệnh, chữa bệnh bảo hiểm y tế trên địa bàn tỉnh Ninh Thuận",
,snapshot-c94d7b75195a67fa:100276,snapshot-c94d7b75195a67fa:20068,REL_Can_cu,True,False,False,"Quyết định số 31/2015/QĐ-UBND Về việc bổ sung Điều 6 Quyết định số 25/2015/QĐ-UBND ngày 12 tháng 5 năm 2015 của Ủy ban nhân dân tỉnh quy định đăng ký khám bệnh, chữa bệnh ban đầu và chuyển tuyến khám bệnh, chữa bệnh bảo hiểm y tế trên địa bàn tỉnh Ninh Thuận",
,snapshot-c94d7b75195a67fa:100276,snapshot-c94d7b75195a67fa:25170,REL_Can_cu,True,False,False,"Quyết định số 31/2015/QĐ-UBND Về việc bổ sung Điều 6 Quyết định số 25/2015/QĐ-UBND ngày 12 tháng 5 năm 2015 của Ủy ban nhân dân tỉnh quy định đăng ký khám bệnh, chữa bệnh ban đầu và chuyển tuyến khám bệnh, chữa bệnh bảo hiểm y tế trên địa bàn tỉnh Ninh Thuận",
,snapshot-c94d7b75195a67fa:100276,snapshot-c94d7b75195a67fa:47035,REL_Can_cu,True,False,False,"Quyết định số 31/2015/QĐ-UBND Về việc bổ sung Điều 6 Quyết định số 25/2015/QĐ-UBND ngày 12 tháng 5 năm 2015 của Ủy ban nhân dân tỉnh quy định đăng ký khám bệnh, chữa bệnh ban đầu và chuyển tuyến khám bệnh, chữa bệnh bảo hiểm y tế trên địa bàn tỉnh Ninh Thuận",
,snapshot-c94d7b75195a67fa:100276,snapshot-c94d7b75195a67fa:52484,REL_Can_cu,True,False,False,"Quyết định số 31/2015/QĐ-UBND Về việc bổ sung Điều 6 Quyết định số 25/2015/QĐ-UBND ngày 12 tháng 5 năm 2015 của Ủy ban nhân dân tỉnh quy định đăng ký khám bệnh, chữa bệnh ban đầu và chuyển tuyến khám bệnh, chữa bệnh bảo hiểm y tế trên địa bàn tỉnh Ninh Thuận",
,snapshot-c94d7b75195a67fa:100276,snapshot-c94d7b75195a67fa:19421,REL_Can_cu,True,False,False,"Quyết định số 31/2015/QĐ-UBND Về việc bổ sung Điều 6 Quyết định số 25/2015/QĐ-UBND ngày 12 tháng 5 năm 2015 của Ủy ban nhân dân tỉnh quy định đăng ký khám bệnh, chữa bệnh ban đầu và chuyển tuyến khám bệnh, chữa bệnh bảo hiểm y tế trên địa bàn tỉnh Ninh Thuận",
,snapshot-c94d7b75195a67fa:100276,snapshot-c94d7b75195a67fa:100267,REL_Sua_oi_bo_sung,True,True,False,"Quyết định số 31/2015/QĐ-UBND Về việc bổ sung Điều 6 Quyết định số 25/2015/QĐ-UBND ngày 12 tháng 5 năm 2015 của Ủy ban nhân dân tỉnh quy định đăng ký khám bệnh, chữa bệnh ban đầu và chuyển tuyến khám bệnh, chữa bệnh bảo hiểm y tế trên địa bàn tỉnh Ninh Thuận","Quyết định số 25/2015/QĐ-UBND Ban hành Quy định đăng ký khám bệnh, chữa bệnh ban đầu và chuyển tuyến khám bệnh, chữa bệnh bảo hiểm y tế trên địa bàn tỉnh Ninh Thuận"
,snapshot-c94d7b75195a67fa:100729,snapshot-c94d7b75195a67fa:12029,REL_Dan_chieu,True,False,False,"Quyết định số 2583/2014/QĐ-UBND Về việc ban hành Quy chế phối hợp công tác thực hiện pháp luật về bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp",
,snapshot-c94d7b75195a67fa:100729,snapshot-c94d7b75195a67fa:24549,REL_Dan_chieu,True,False,False,"Quyết định số 2583/2014/QĐ-UBND Về việc ban hành Quy chế phối hợp công tác thực hiện pháp luật về bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp",
,snapshot-c94d7b75195a67fa:100729,snapshot-c94d7b75195a67fa:12326,REL_Can_cu,True,True,False,"Quyết định số 2583/2014/QĐ-UBND Về việc ban hành Quy chế phối hợp công tác thực hiện pháp luật về bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp",Luật Bảo hiểm y tế số 25/2008/QH12
,snapshot-c94d7b75195a67fa:100729,snapshot-c94d7b75195a67fa:20068,REL_Can_cu,True,False,False,"Quyết định số 2583/2014/QĐ-UBND Về việc ban hành Quy chế phối hợp công tác thực hiện pháp luật về bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp",
,snapshot-c94d7b75195a67fa:100729,snapshot-c94d7b75195a67fa:15057,REL_Can_cu,True,False,False,"Quyết định số 2583/2014/QĐ-UBND Về việc ban hành Quy chế phối hợp công tác thực hiện pháp luật về bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp",
,snapshot-c94d7b75195a67fa:10102,snapshot-c94d7b75195a67fa:10323,REL_Quy_inh_chi_tiet_huong_dan_thi_hanh,True,False,False,Thông tư liên tịch số 15/TTLB Hướng dẫn thi hành Nghị định số 47-CP ngày 6/6/94 của Chính phủ sửa đổi một số điều của Điều lệ Bảo hiểm y tế,
,snapshot-c94d7b75195a67fa:10102,snapshot-c94d7b75195a67fa:10323,REL_Can_cu,True,False,False,Thông tư liên tịch số 15/TTLB Hướng dẫn thi hành Nghị định số 47-CP ngày 6/6/94 của Chính phủ sửa đổi một số điều của Điều lệ Bảo hiểm y tế,
,snapshot-c94d7b75195a67fa:101450,snapshot-c94d7b75195a67fa:12326,REL_Can_cu,True,True,False,Quyết định số 39/2013/QĐ-UBND Ban hành Quy chế quản lý và sử dụng Quỹ khám chữa bệnh cho người nghèo trên địa bàn tỉnh Thừa Thiên Huế,Luật Bảo hiểm y tế số 25/2008/QH12
,snapshot-c94d7b75195a67fa:101450,snapshot-c94d7b75195a67fa:20068,REL_Can_cu,True,False,False,Quyết định số 39/2013/QĐ-UBND Ban hành Quy chế quản lý và sử dụng Quỹ khám chữa bệnh cho người nghèo trên địa bàn tỉnh Thừa Thiên Huế,
,snapshot-c94d7b75195a67fa:101450,snapshot-c94d7b75195a67fa:25170,REL_Can_cu,True,False,False,Quyết định số 39/2013/QĐ-UBND Ban hành Quy chế quản lý và sử dụng Quỹ khám chữa bệnh cho người nghèo trên địa bàn tỉnh Thừa Thiên Huế,
,snapshot-c94d7b75195a67fa:101450,snapshot-c94d7b75195a67fa:24549,REL_Can_cu,True,False,False,Quyết định số 39/2013/QĐ-UBND Ban hành Quy chế quản lý và sử dụng Quỹ khám chữa bệnh cho người nghèo trên địa bàn tỉnh Thừa Thiên Huế,
,snapshot-c94d7b75195a67fa:101450,snapshot-c94d7b75195a67fa:22202,REL_Can_cu,True,False,False,Quyết định số 39/2013/QĐ-UBND Ban hành Quy chế quản lý và sử dụng Quỹ khám chữa bệnh cho người nghèo trên địa bàn tỉnh Thừa Thiên Huế,
,snapshot-c94d7b75195a67fa:101450,snapshot-c94d7b75195a67fa:27367,REL_Can_cu,True,False,False,Quyết định số 39/2013/QĐ-UBND Ban hành Quy chế quản lý và sử dụng Quỹ khám chữa bệnh cho người nghèo trên địa bàn tỉnh Thừa Thiên Huế,
,snapshot-c94d7b75195a67fa:101450,snapshot-c94d7b75195a67fa:32695,REL_Van_ban_het_hieu_luc,True,False,False,Quyết định số 39/2013/QĐ-UBND Ban hành Quy chế quản lý và sử dụng Quỹ khám chữa bệnh cho người nghèo trên địa bàn tỉnh Thừa Thiên Huế,
,snapshot-c94d7b75195a67fa:101886,snapshot-c94d7b75195a67fa:18127,REL_Dan_chieu,True,False,False,Luật Dược số 105/2016/QH13,
,snapshot-c94d7b75195a67fa:101886,snapshot-c94d7b75195a67fa:18127,REL_Bai_bo,True,False,False,Luật Dược số 105/2016/QH13,
,snapshot-c94d7b75195a67fa:101886,snapshot-c94d7b75195a67fa:175084,REL_Van_ban_bo_sung,True,True,False,Luật Dược số 105/2016/QH13,Luật Dược sửa đổi 2024 số 44/2024/QH15
,snapshot-c94d7b75195a67fa:101886,snapshot-c94d7b75195a67fa:130821,REL_Van_ban_bo_sung,True,False,False,Luật Dược số 105/2016/QH13,
,snapshot-c94d7b75195a67fa:101886,snapshot-c94d7b75195a67fa:187601,REL_Van_ban_bo_sung,True,False,False,Luật Dược số 105/2016/QH13,
,snapshot-c94d7b75195a67fa:101886,snapshot-c94d7b75195a67fa:32801,REL_Can_cu,True,False,False,Luật Dược số 105/2016/QH13,
,snapshot-c94d7b75195a67fa:101886,snapshot-c94d7b75195a67fa:175084,REL_Van_ban_sua_oi,True,True,False,Luật Dược số 105/2016/QH13,Luật Dược sửa đổi 2024 số 44/2024/QH15
,snapshot-c94d7b75195a67fa:101886,snapshot-c94d7b75195a67fa:130821,REL_Van_ban_sua_oi,True,False,False,Luật Dược số 105/2016/QH13,
,snapshot-c94d7b75195a67fa:101886,snapshot-c94d7b75195a67fa:187601,REL_Van_ban_sua_oi,True,False,False,Luật Dược số 105/2016/QH13,
,snapshot-c94d7b75195a67fa:101886,snapshot-c94d7b75195a67fa:135489,REL_Van_ban_HD_Q_chi_tiet,True,True,False,Luật Dược số 105/2016/QH13,"Thông tư số 31/2018/TT-BYT Quy định thực hiện chương trình hỗ trợ thuốc miễn phí cho cơ sở khám bệnh, chữa bệnh để điều trị cho người bệnh"
,snapshot-c94d7b75195a67fa:101886,snapshot-c94d7b75195a67fa:141196,REL_Van_ban_HD_Q_chi_tiet,True,True,False,Luật Dược số 105/2016/QH13,"Thông tư số 43/2017/TT-BYT Quy định tỷ lệ hao hụt đối với vị thuốc cổ truyền và việc thanh toán chi phí hao hụt tại các cơ sở khám bệnh, chữa bệnh"
,snapshot-c94d7b75195a67fa:101886,snapshot-c94d7b75195a67fa:171116,REL_Van_ban_HD_Q_chi_tiet,True,True,False,Luật Dược số 105/2016/QH13,Thông tư 27/2024/TT-BYT sửa đổi Thông tư 20/2017/TT-BYT hướng dẫn Luật Dược và Nghị định 54/2017/NĐ-CP về thuốc và nguyên liệu làm thuốc phải kiểm soát đặc biệt do Bộ trưởng Bộ Y tế ban hành
,snapshot-c94d7b75195a67fa:101886,snapshot-c94d7b75195a67fa:171715,REL_Van_ban_HD_Q_chi_tiet,True,True,False,Luật Dược số 105/2016/QH13,Thông tư 13/2024/TT-BYT về Danh mục dược liệu độc làm thuốc do Bộ trưởng Bộ Y tế ban hành
,snapshot-c94d7b75195a67fa:101886,snapshot-c94d7b75195a67fa:179702,REL_Van_ban_HD_Q_chi_tiet,True,True,False,Luật Dược số 105/2016/QH13,"hướng dẫn và biện pháp để tổ chức, thi hành Luật Dược"
,snapshot-c94d7b75195a67fa:101886,snapshot-c94d7b75195a67fa:179735,REL_Van_ban_HD_Q_chi_tiet,True,True,False,Luật Dược số 105/2016/QH13,"Thông tư số 26/2025/TT-BYT quy định về đơn thuốc và việc kê đơn thuốc hóa dược, sinh phẩm trong điều trị ngoại trú tại cơ sở khám bệnh, chữa bệnh do Bộ trưởng Bộ Y tế ban hành"
,snapshot-c94d7b75195a67fa:101886,snapshot-c94d7b75195a67fa:179744,REL_Van_ban_HD_Q_chi_tiet,True,True,False,Luật Dược số 105/2016/QH13,"Thông tư số 29/2025/TT-BYT quy định về đăng ký lưu hành thuốc cổ truyền, vị thuốc cổ truyền, dược liệu do Bộ trưởng Bộ Y tế ban hành"
,snapshot-c94d7b75195a67fa:101886,snapshot-c94d7b75195a67fa:179746,REL_Van_ban_HD_Q_chi_tiet,True,True,False,Luật Dược số 105/2016/QH13,"Thông tư số 30/2025/TT-BYT hướng dẫn áp dụng tiêu chuẩn chất lượng, kiểm nghiệm thuốc, nguyên liệu làm thuốc và thu hồi, xử lý thuốc vi phạm do Bộ trưởng Bộ Y tế ban hành"
,snapshot-c94d7b75195a67fa:101886,snapshot-c94d7b75195a67fa:185609,REL_Van_ban_HD_Q_chi_tiet,True,True,False,Luật Dược số 105/2016/QH13,"Thông tư số 55/2025/TT-BYT quy định về kê đơn thuốc cổ truyền, thuốc dược liệu và kê đơn kết hợp thuốc cổ truyền, thuốc dược liệu với thuốc hóa dược trong cơ sở khám bệnh, chữa bệnh"
,snapshot-c94d7b75195a67fa:101886,snapshot-c94d7b75195a67fa:124837,REL_Van_ban_HD_Q_chi_tiet,True,False,False,Luật Dược số 105/2016/QH13,
,snapshot-c94d7b75195a67fa:101886,snapshot-c94d7b75195a67fa:132229,REL_Van_ban_HD_Q_chi_tiet,True,False,False,Luật Dược số 105/2016/QH13,
